title,rating,runtime,imdb_rating,meta_score,genre,release_year,description,director,stars,votes,gross,img_src,type,stars_list,genre_list,rating_norm,runtime_norm
Love Actually,R,135.0,7.6,55.0,"Comedy, Drama, Romance",2003.0,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",Richard Curtis,"Hugh Grant, Martine McCutcheon, Liam Neeson, Laura Linney, ","517,283",$59.70M,"https://m.media-amazon.com/images/M/MV5BNThkNjgxNGQtOTIxMy00ZTFmLWIwMDItYzE5YzM3ZDMzNDE3XkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_UY209_CR3,0,140,209_AL_.jpg",Movie,"['Hugh Grant', 'Martine McCutcheon', 'Liam Neeson', 'Laura Linney']","['Comedy', 'Drama', 'Romance']",0.7974683544303798,0.6767676767676768
Home Alone,PG,103.0,7.7,63.0,"Comedy, Family",1990.0,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas Eve.",Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard, ","629,713",$285.76M,"https://m.media-amazon.com/images/M/MV5BMzFkM2YwOTQtYzk2Mi00N2VlLWE3NTItN2YwNDg1YmY0ZDNmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie,"['Macaulay Culkin', 'Joe Pesci', 'Daniel Stern', 'John Heard']","['Comedy', 'Family']",0.8101265822784811,0.5151515151515151
National Lampoon's Christmas Vacation,PG-13,97.0,7.5,49.0,Comedy,1989.0,The Griswold family's plans for a big family Christmas predictably turn into a big disaster.,Jeremiah S. Chechik,"Chevy Chase, Beverly D'Angelo, Juliette Lewis, Johnny Galecki, ","213,196",$71.32M,"https://m.media-amazon.com/images/M/MV5BMGZkMWQ2MzMtYTkxYS00OThmLWI0ZTQtNmY0ZTkyY2E4MjliXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie,"['Chevy Chase', ""Beverly D'Angelo"", 'Juliette Lewis', 'Johnny Galecki']",['Comedy'],0.7848101265822786,0.48484848484848486
Elf,PG,97.0,7.1,66.0,"Adventure, Comedy, Family",2003.0,"Raised as an oversized elf, Buddy travels from the North Pole to New York City to meet his biological father, Walter Hobbs, who doesn't know he exists and is in desperate need of some Christmas spirit.",Jon Favreau,"Will Ferrell, James Caan, Bob Newhart, Zooey Deschanel, ","300,546",$173.40M,"https://m.media-amazon.com/images/M/MV5BMzUxNzkzMzQtYjIxZC00NzU0LThkYTQtZjNhNTljMTA1MDA1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie,"['Will Ferrell', 'James Caan', 'Bob Newhart', 'Zooey Deschanel']","['Adventure', 'Comedy', 'Family']",0.7341772151898734,0.48484848484848486
How the Grinch Stole Christmas,PG,104.0,6.3,46.0,"Comedy, Family, Fantasy",2000.0,"On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town.",Ron Howard,"Jim Carrey, Taylor Momsen, Kelley, Jeffrey Tambor, ","280,898",$260.04M,"https://m.media-amazon.com/images/M/MV5BNWNiNTczNzEtMjQyZC00MjFmLTkzMDMtODk4ZGMyZmE0N2E4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie,"['Jim Carrey', 'Taylor Momsen', 'Kelley', 'Jeffrey Tambor']","['Comedy', 'Family', 'Fantasy']",0.6329113924050633,0.5202020202020202
The Grinch,PG,85.0,6.4,51.0,"Animation, Comedy, Family",2018.0,A grumpy Grinch plots to ruin Christmas for the village of Whoville.,Yarrow Cheney,"Scott Mosier, Benedict Cumberbatch, Cameron Seely, Rashida Jones, Pharrell Williams, ","85,219",$270.62M,"https://m.media-amazon.com/images/M/MV5BYmE5Yjg0MzktYzgzMi00YTFiLWJjYTItY2M5MmI1ODI4MDY3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Scott Mosier', 'Benedict Cumberbatch', 'Cameron Seely', 'Rashida Jones', 'Pharrell Williams']","['Animation', 'Comedy', 'Family']",0.6455696202531647,0.42424242424242425
Die Hard,R,132.0,8.2,72.0,"Action, Thriller",1988.0,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson, ","924,658",$83.01M,"https://m.media-amazon.com/images/M/MV5BZjRlNDUxZjAtOGQ4OC00OTNlLTgxNmQtYTBmMDgwZmNmNjkxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Bruce Willis', 'Alan Rickman', 'Bonnie Bedelia', 'Reginald VelJohnson']","['Action', 'Thriller']",0.8734177215189873,0.6616161616161617
Home Alone 2: Lost in New York,PG,120.0,6.9,46.0,"Adventure, Comedy, Crime",1992.0,"One year after Kevin McCallister was left home alone and had to defeat a pair of bumbling burglars, he accidentally finds himself stranded in New York City - and the same criminals are not far behind.",Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern, Catherine O'Hara, ","389,541",$173.59M,"https://m.media-amazon.com/images/M/MV5BNDI1MzM0Y2YtYmIyMS00ODE3LTlhZjEtZTUyNmEzMTNhZWU5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie,"['Macaulay Culkin', 'Joe Pesci', 'Daniel Stern', ""Catherine O'Hara""]","['Adventure', 'Comedy', 'Crime']",0.708860759493671,0.601010101010101
The Polar Express,G,100.0,6.6,61.0,"Animation, Adventure, Comedy",2004.0,"On Christmas Eve, a young boy embarks on a magical adventure to the North Pole on the Polar Express, while learning about friendship, bravery, and the spirit of Christmas.",Robert Zemeckis,"Tom Hanks, Chris Coppola, Michael Jeter, Leslie Zemeckis, ","233,258",$183.37M,"https://m.media-amazon.com/images/M/MV5BMTM1NTU0NTE4MV5BMl5BanBnXkFtZTcwMTQ0MjEzMw@@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie,"['Tom Hanks', 'Chris Coppola', 'Michael Jeter', 'Leslie Zemeckis']","['Animation', 'Adventure', 'Comedy']",0.6708860759493671,0.5
It's a Wonderful Life,PG,130.0,8.6,89.0,"Drama, Family, Fantasy",1946.0,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, ","486,479",,"https://m.media-amazon.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_UY209_CR2,0,140,209_AL_.jpg",Movie,"['James Stewart', 'Donna Reed', 'Lionel Barrymore', 'Thomas Mitchell']","['Drama', 'Family', 'Fantasy']",0.9240506329113924,0.6515151515151515
